published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-06-02T17:14:01.182390,16 hours ago,"Universal, Warner, and Sony in talks to license AI music generators Suno and Udio (report)",2025-06-03T09:14:01.180392,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.musicbusinessworldwide.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T02:14:01.185399,7 hours ago,How AI can make clinical registry participation more efficient,2025-06-03T09:14:01.183393,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.healthcareitnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T00:14:01.187394,9 hours ago,Job Applicants Are Facing AI Interviewers – With Mixed Results,2025-06-03T09:14:01.186392,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.eweek.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T06:14:01.190397,3 hours ago,"Go Creative Show– AI in Filmmaking: The Good, The Bad, and What You Really Need to Know",2025-06-03T09:14:01.188389,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.newsshooter.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-31T09:14:01.193401,3 days ago,AI influencers compete for followers and brand deals on social media,2025-06-03T09:14:01.190397,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://abcnews.go.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T21:14:01.195425,12 hours ago,The Verge hires Field as senior AI reporter,2025-06-03T09:14:01.194402,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://talkingbiznews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T22:14:01.197424,11 hours ago,Experts Warn of AI’s Self-Preservation Tactics in New Tests,2025-06-03T09:14:01.196423,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.mensjournal.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T03:14:01.200428,6 hours ago,F5 grabs agentic AI startup Fletch to bolster security platform,2025-06-03T09:14:01.198427,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.networkworld.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T22:14:01.202641,11 hours ago,Tempus AI jumps after hit from short seller’s report,2025-06-03T09:14:01.201435,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://sherwood.news&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T16:14:01.205642,17 hours ago,BigBear.ai may sell up $150M in stock offering (BBAI:NYSE),2025-06-03T09:14:01.203644,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://seekingalpha.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T16:14:01.208065,17 hours ago,CE 100 Index Gains 1.7% as Investors Send AI-Related Names Higher,2025-06-03T09:14:01.207065,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.pymnts.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T18:14:01.211066,15 hours ago,Samsung may incorporate Perplexity’s AI tech in its phones,2025-06-03T09:14:01.210063,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://techcrunch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T01:14:01.214076,8 hours ago,AI is key to decoding aging,2025-06-03T09:14:01.212067,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.healthcareitnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T16:14:01.216073,17 hours ago,Pool: AI didn't write this,2025-06-03T09:14:01.214076,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.news-journal.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T00:14:01.218065,9 hours ago,Tech Veteran Asim Akram Takes CEO Role at MultiSensor AI: Major Push into Industrial IoT and Predictive Tech,2025-06-03T09:14:01.217070,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.stocktitan.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T13:14:01.220364,20 hours ago,AI is remaking — and breaking — the web,2025-06-03T09:14:01.219366,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.axios.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T01:14:01.223784,8 hours ago,Brex: AI saving clients169K accounting hours each month,2025-06-03T09:14:01.221782,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://bankautomationnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T16:14:01.226202,17 hours ago,"AI chatbots deliver minimal productivity gains, study finds",2025-06-03T09:14:01.224816,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.computerworld.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-31T09:14:01.229199,3 days ago,Tempus AI hits back at scathing short report,2025-06-03T09:14:01.227200,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.thestreet.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-01T09:14:01.231199,2 days ago,US lawyer sanctioned after being caught using ChatGPT for court brief,2025-06-03T09:14:01.229199,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T21:14:01.234211,12 hours ago,R1 secures investment for agentic AI in revenue cycle management,2025-06-03T09:14:01.232208,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.techtarget.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T01:14:01.237209,8 hours ago,"iFIT Takes AI Coach Global, Launching in 19 Countries",2025-06-03T09:14:01.235210,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://athletechnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T23:14:01.240216,10 hours ago,ADDING MULTIMEDIA Clairity Becomes the First FDA-Authorized AI Platform for Breast Cancer Prediction – Historic Milestone for Women’s Health,2025-06-03T09:14:01.238218,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.businesswire.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T00:14:01.242432,9 hours ago,"Zscaler, Vectra AI Expand Cloud Cybersecurity Partnership",2025-06-03T09:14:01.240216,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.investors.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T05:14:01.244428,4 hours ago,"Iconic Action Star, 71, Makes Bold Admission About AI Stunts",2025-06-03T09:14:01.243429,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://parade.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-01T09:14:01.247953,2 days ago,Real-life ways accountants are using AI,2025-06-03T09:14:01.246433,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.journalofaccountancy.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-31T09:14:01.250953,3 days ago,"Palantir's stock price surges on AI news, gamma squeeze",2025-06-03T09:14:01.248953,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.thestreet.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T07:14:01.252953,2 hours ago,'The Beautiful Game' falls for AI's charms,2025-06-03T09:14:01.250953,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.djournal.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T22:14:01.254958,11 hours ago,Diabetes management: IBM and Roche use AI to forecast blood sugar levels,2025-06-03T09:14:01.253954,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.artificialintelligence-news.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-31T09:14:01.257961,3 days ago,A teen died after being blackmailed with A.I.-generated nudes. His family is fighting for change,2025-06-03T09:14:01.255954,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T08:14:01.262953,1 hour ago,‘Partner With Me’: Fox News Guest Pitches Trump on ‘AI-Powered Threat Detection System’,2025-06-03T09:14:01.260954,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.mediaite.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T16:14:01.265954,17 hours ago,This little-known AI darling is climbing the Fortune 500 faster than any other company,2025-06-03T09:14:01.263952,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T17:14:01.267954,16 hours ago,Applied Digital Lands Massive $7B CoreWeave Deal for 250MW AI Data Center Complex in North Dakota,2025-06-03T09:14:01.266951,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.stocktitan.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T07:14:01.271953,2 hours ago,'The Beautiful Game' falls for AI's charms,2025-06-03T09:14:01.269951,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.messenger-inquirer.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
